"Apply Filter";"Apply Filter"
"Apply Filters";"Apply Filters"
"Export";"Export"
"Filters";"Filters"
"Filter(verb)";"Filter"
"Filter(noun)";"Filter"
"No filters";"No filters to show"
"sort_by";"Sort by"
"default_sort";"Default"
"row-count-label";"Result"
